"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","18:27:46"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
10.80,3054.983,103.541385121951
10.82,3055.33166463415,102.907315731707
10.84,3053.37517682927,102.190740926829
10.86,3054.77148780488,101.253569634146
10.88,3054.32698170732,101.333237560976
10.90,3055.12180487805,101.75340402439
10.92,3056.99236585366,102.279576121951
10.94,3051.30797560976,102.691739414634
10.96,3055.56796341463,101.869231731707
10.98,3053.60486585366,101.749620707317
11.00,3057.54262804878,101.952028170732
11.02,3052.9372804878,101.095979926829
11.04,3056.37600609756,101.131775926829
11.06,3054.88220121951,101.816192536585
11.08,3059.45284756098,101.011073560976
11.10,3055.50682317073,99.6715610487805
11.12,3056.94940243902,99.371514902439
11.14,3057.39390853659,99.6324910243902
11.16,3056.05047560976,99.0580816341463
11.18,3060.18487804878,99.3034151951219
11.20,3055.56631097561,100.790622585366
11.22,3058.7836097561,101.223666878049
11.24,3057.76240243902,100.321127487805
11.26,3055.26391463415,100.057968682927
11.28,3056.30329878049,99.9693517560976
11.30,3060.13695731707,100.354740804878
11.32,3057.58063414634,100.540632634146
11.34,3057.08820731707,100.142365756098
11.36,3057.24188414634,99.2977402195122
11.38,3059.91057317073,98.5575924390244
11.40,3060.39969512195,98.8962720731707
11.42,3055.88192682927,99.6419493170732
11.44,3050.29833536585,99.0713232439024
11.46,3058.53078658537,98.2416854634146
11.48,3049.8406097561,97.8428365365854
11.50,3053.39996341463,96.9752200731707
11.52,3054.01301829268,97.4826938536585
11.54,3052.95380487805,97.0306602195122
11.56,3050.89817073171,97.382363195122
11.58,3052.74725,97.0895926585366
11.60,3054.41290853659,97.0842087073171
11.62,3055.98272560976,96.6945998048781
11.64,3053.97831707317,96.5443584634146
11.66,3057.85493902439,96.0833758292683
11.68,3058.88771341463,96.3282728536585
11.70,3054.95986585366,96.6699354878049
11.72,3059.84117073171,97.1357200243902
11.74,3056.83703658537,97.3696308780488
11.76,3060.58642073171,97.4969540487805
11.78,3064.36720121951,97.1950162439024
11.80,3060.48892682927,96.0268443414634
11.82,3060.56824390244,95.6935486585366
11.84,3064.5968902439,95.0270300487805
11.86,3058.33579878049,94.9678065853659
11.88,3059.90231097561,95.0197544390244
11.90,3056.5478597561,94.3308997073171
11.92,3065.23803658537,94.413114097561
11.94,3063.25015243902,94.5893293658537
11.96,3061.68198780488,94.3770998292683
11.98,3058.95215853659,94.087457804878
12.00,3061.1350304878,93.5777285853658
12.02,3063.40878658537,93.8602405121951
12.04,3060.40795731707,93.4803809268293
12.06,3061.74643292683,93.0764390731707
12.08,3061.66876829268,92.2193722439024
12.10,3062.45698170732,91.0445795365854
12.12,3057.27162804878,90.7211786829268
12.14,3063.77397560976,90.6917852195122
12.16,3062.56769512195,91.5821743414634
12.18,3057.06837804878,91.6373234634146
12.20,3059.91718292683,90.9628016829268
12.22,3059.12401219512,90.5979298536585
12.24,3061.08215243902,90.5385608780488
12.26,3061.85549390244,91.140763097561
12.28,3056.42062195122,91.4345522195122
12.30,3058.43825,91.2286524634146
12.32,3057.46496341463,90.735729902439
12.34,3061.36802439024,90.3774788780488
12.36,3063.02046341463,90.758939097561
12.38,3056.46028048781,91.4675834878049
12.40,3062.20911585366,91.739182
12.42,3062.79407926829,91.0506182926829
12.44,3060.9317804878,90.9609827804878
12.46,3059.20332926829,90.9269329268293
12.48,3060.58311585366,90.539361195122
12.50,3057.23692682927,89.9567303658537
12.52,3060.90534146341,89.8569817560976
12.54,3058.27631097561,89.4867987317073
12.56,3062.14467073171,89.69881
12.58,3056.8188597561,90.3416828780488
12.60,3057.54923780488,90.2617239268293
12.62,3059.48093902439,89.7555597560976
12.64,3056.96923170732,89.8202399268293
12.66,3061.60267073171,90.3408825609756
12.68,3059.0546097561,90.8050664634146
12.70,3061.78443902439,91.0111117317073
12.72,3057.63351219512,91.2800182682927
12.74,3057.90616463415,92.2003101463415
12.76,3058.80013414634,91.9076851219512
12.78,3063.85659756098,91.60793
12.80,3057.60707317073,91.4118523170732
12.82,3059.23307317073,91.6906536829268
12.84,3056.75771951219,90.9926316829268
12.86,3054.42117073171,91.2573911219512
12.88,3054.43769512195,90.2489188536585
12.90,3058.13420121951,89.5703954878049
12.92,3057.09316463415,90.2748927804878
12.94,3057.0022804878,90.6714135121951
12.96,3058.28126829268,89.9712088292683
12.98,3054.22948780488,89.9159869512195
13.00,3057.89459756098,89.431504097561
13.02,3056.97088414634,88.9802707804878
13.04,3056.44210365854,88.9121710731707
13.06,3058.95050609756,88.8664074878049
13.08,3055.3828902439,88.7374836829268
13.10,3055.24904268293,88.8074022926829
13.12,3053.58503658537,88.7646217073171
